"Family","Count"
"cyprinidae",1873
"centrarchidae",1789
"catostomidae",511
"percidae",502
"cichlidae",337
"ictaluridae",327
"cottidae",214
"anostomidae",147
"salmonidae",133
"esocidae",130
"umbridae",117
"characidae",114
"fundulidae",98
"syngnathidae",93
"goodeidae",92
"poeciliidae",84
"gasterosteidae",82
"carangidae",75
"clupeidae",70
"sciaenidae",70
"atherinidae",67
"haemulidae",57
"petromyzontidae",57
"lutjanidae",51
"pleuronectidae",44
"sparidae",42
"loricariidae",39
"osmeridae",34
"sternopygidae",33
"aphredoderidae",31
"centropomidae",27
"serrasalmidae",26
"moronidae",24
"serranidae",24
"ariidae",23
"tetraodontidae",21
"batrachoididae",20
"pimelodidae",20
"atherinopsidae",16
"eleotridae",16
"lepisosteidae",16
"muraenidae",16
"triglidae",14
"amiidae",13
"bagridae",13
"elassomatidae",13
"mochokidae",13
"polynemidae",13
"scombridae",13
"trichiuridae",13
"cyprinodontidae",12
"labridae",12
"lotidae",12
"pomacentridae",12
"curimatidae",11
"narcinidae",11
"clariidae",10
"gadidae",10
"pholidae",10
"acipenseridae",9
"cyclopteridae",9
"engraulidae",9
"erythrinidae",9
"exocoetidae",9
"mugilidae",9
"stromateidae",9
"acestrorhynchidae",8
"belonidae",8
"gerreidae",8
"monacanthidae",8
"achiridae",7
"gobiidae",7
"paralichthyidae",7
"aplocheilidae",6
"belontiidae",6
"embiotocidae",6
"ephippidae",6
"hexagrammidae",6
"mullidae",6
"pomatomidae",6
"potamotrygonidae",6
"scaridae",6
"sebastidae",6
"synodontidae",6
"anguillidae",5
"astroblepidae",5
"dasyatidae",5
"ogcocephalidae",5
"scorpaenidae",5
"stichaeidae",5
"agonidae",4
"diodontidae",4
"holocentridae",4
"ophidiidae",4
"ostraciidae",4
"percopsidae",4
"alestiidae",3
"bathyclupeidae",3
"bothidae",3
"chaetodontidae",3
"clinidae",3
"cynoglossidae",3
"dalatiidae",3
"echeneidae",3
"electrophoridae",3
"lebiasinidae",3
"macrouridae",3
"molidae",3
"muraenesocidae",3
"psychrolutidae",3
"scyliorhinidae",3
"sphyrnidae",3
"squalidae",3
"uranoscopidae",3
"acropomatidae",2
"alestidae",2
"apogonidae",2
"apteronotidae",2
"blenniidae",2
"cetopsidae",2
"congridae",2
"elopidae",2
"epigonidae",2
"gobiesocidae",2
"gonostomatidae",2
"grammicolepididae",2
"halosauridae",2
"hemiodontidae",2
"neoscopelidae",2
"percophidae",2
"plesiopidae",2
"pristidae",2
"siluridae",2
"soleidae",2
"sphyraenidae",2
"sternoptychidae",2
"triacanthidae",2
"zoarcidae",2
"acanthuridae",1
"amblyopsidae",1
"ammodytidae",1
"anacanthobatidae",1
"antennariidae",1
"argentinidae",1
"arhynchobatidae",1
"arripidae",1
"ateleopodidae",1
"callionymidae",1
"centriscidae",1
"ceratodontidae",1
"chaunacidae",1
"chimaeridae",1
"citharinidae",1
"dactylopteridae",1
"doradidae",1
"fistulariidae",1
"gempylidae",1
"hemiramphidae",1
"hemitripteridae",1
"hiodontidae",1
"kyphosidae",1
"lobotidae",1
"lophiidae",1
"merlucciidae",1
"moridae",1
"ophichthidae",1
"peristediidae",1
"polymixiidae",1
"pomacanthidae",1
"pseudochromidae",1
"rachycentridae",1
"rajidae",1
"rhinobatidae",1
"scatophagidae",1
"schilbeidae",1
"stomiidae",1
"trachichthyidae",1
"triakidae",1
